SampleID,NO2,NO3,PO4,NH4,DOC,TDN
MIDAS T0 C2,0.109,6.107,0.029,0.116,153.3333333,12.10714286
MIDAS T0 C3,0.03,6.048,0.065,,172.6666667,12.5
MIDAS T0 J1,0.038,6.106,0.304,0.4,145.0833333,16.44285714
MIDAS T0 J2,0.047,8.724,0.245,0.376,150.6666667,19.47857143
MIDAS T0 J3,0.077,9.358,0.239,0.826,152.0833333,20.94285714
MIDAS T1 C1,0.109,6.332,0.027,0.052,104.4166667,10.95714286
MIDAS T1 C2,0.102,6.393,0.03,0.054,112.75,10.72857143
MIDAS T1 C3,0.037,6.232,0.062,0.064,381,13.60714286
MIDAS T1 J1,0.104,6.415,0.295,0.389,144.8333333,17.64285714
MIDAS T1 J2,0.044,8.545,0.237,0.245,174.9166667,20.90714286
MIDAS T1 J3,0.053,8.841,0.246,0.335,171.1666667,21.55714286
MIDAS T2 C1,0.111,6.134,0.037,0.044,142.1666667,11.59285714
MIDAS T2 C2,0.1,6.061,0.03,,167.5833333,12.21428571
MIDAS T2 C3,0.015,5.856,0.058,0.061,81.55833333,10.05
MIDAS T2 J1,0.041,6.203,0.324,0.157,179.0833333,20.04285714
MIDAS T2 J2,0.056,9.145,0.256,0.193,189.9166667,26.03571429
MIDAS T2 J3,0.066,8.931,0.186,1.119,174,22.93571429
MIDAS T3 C1,0.07,4.08,0.022,0.108,153.1666667,12.58571429
MIDAS T3 C2,0.096,6.046,0.017,0.274,175.0833333,14.63571429
MIDAS T3 C3,0.023,6.089,0.064,0.244,83.19166667,10.05714286
MIDAS T3 J1,0.06,6.134,0.376,0.462,105.9166667,16.22142857
MIDAS T3 J2,0.067,8.723,0.311,0.553,204.3333333,22.54285714
MIDAS T3 J3,0.062,8.697,0.245,0.85,175.6666667,21.55
MIDAS T4 C1,0.122,6.265,0.04,0.183,153.75,13.12857143
MIDAS T4 C2,0.095,6.255,0.031,0.07,149,15.50714286
MIDAS T4 C3,0.034,6.201,0.065,0.045,447.4166667,15.58571429
MIDAS T4 J1,0.024,4.195,0.291,1.332,133.5,17.50714286
MIDAS T4 J2,0.053,8.642,0.28,1.837,130.1666667,21.42857143
MIDAS T4 J3,0.052,9.011,0.218,1.694,205.1666667,20.43571429
MIDAS T5 C1,0.058,5.26,0.227,8.114,144.9166667,13.48571429
MIDAS T5 C2,0.097,6.086,0.026,0.063,174.5,11.67142857
MIDAS T5 C3,0.031,6.508,0.053,0.102,84.08333333,10.21428571
MIDAS T5 J1,0.048,4.933,0.23,7.627,99.25,25.66428571
MIDAS T5 J2,0.068,8.755,0.195,8.401,103.3333333,27.64285714
MIDAS T5 J3,0.047,8.813,0.154,7.983,176.3333333,31.27857143
MIDAS T6 C1,0.106,6.197,0.021,0.069,78.46666667,9.778571429
MIDAS T6 C2,0.123,6.104,0.015,0.029,84.08333333,9.314285714
MIDAS T6 C3,0.017,6.168,0.05,0.038,83.3,9.8
MIDAS T6 J1,0.053,5.827,0.253,10.709,98.5,26.31428571
MIDAS T6 J2,0.065,8.728,0.205,9.981,100.75,29
MIDAS T6 J3,0.054,10.076,0.177,9.747,99.41666667,29.87142857
MIDAS T7 C1,0.1,6.076,0.021,0.234,84.58333333,10.23571429
MIDAS T7 C2,0.026,7.345,0.047,0.061,78.425,10.52857143
MIDAS T7 C3,0.091,6.139,0.013,0.136,81.38333333,10.81428571
MIDAS T7 J1,0.024,5.836,0.39,16.336,98.75,35.19285714
MIDAS T7 J2,0.063,8.634,0.371,16.064,120.5833333,35.73571429
MIDAS T7 J3,0.042,8.808,0.613,16.157,106.5,37.52142857
MIDAS XX ASW,0.055,7.963,0.025,0.408,103.8333333,13.33571429
MIDAS XX INOCOLUM,0.041,0.149,0.009,0.234,141.0833333,7.485714286
